Station Display Name,Zone,Customer Category,Postal Code,EVSE Latitude and Longitude,Long,Lat
GARAGE 1 / GARAGE ONE,GARAGE 1,Multifamily,78745,"(30.211727, -97.772285)",-97.772285,30.211727
GPT / GABLES 1,GPT,Multifamily,78701,"(30.268637, -97.754851)",-97.754851,30.268637
GPT / GPT 2,GPT,Multifamily,78701,"(30.268498, -97.754605)",-97.754605,30.268498
GPT / GPT 3,GPT,Multifamily,78701,"(30.268396, -97.754401)",-97.754401,30.268396
HABITAT SUITES / DUAL PORT,HABITAT SUITES,Hospitality,78752,"(30.329139, -97.709555)",-97.709555,30.329139
HABITAT SUITES / SINGLE PORT,HABITAT SUITES,Hospitality,78752,"(30.329076, -97.709553)",-97.709553,30.329076
HANOVER / L1,HANOVER,Multifamily,78701,"(30.265311, -97.74952)",-97.74952,30.265311
HANOVER / L2,HANOVER,Multifamily,78701,"(30.265147, -97.749142)",-97.749142,30.265147
HANOVER / L3,HANOVER,Multifamily,78701,"(30.265425, -97.749045)",-97.749045,30.265425
HANOVER / L4,HANOVER,Multifamily,78701,"(30.265222, -97.749115)",-97.749115,30.265222
HANOVER / L5,HANOVER,Multifamily,78701,"(30.265299, -97.749118)",-97.749118,30.265299
HANOVER / L6,HANOVER,Multifamily,78701,"(30.265239, -97.74912)",-97.74912,30.265239
HANOVER / L7,HANOVER,Multifamily,78701,"(30.265166, -97.749131)",-97.749131,30.265166
HANOVER / LANTANA HILLS,HANOVER,Multifamily,78735,"(30.24912, -97.862418)",-97.862418,30.24912
HEB / HEB LAKEWAY #1,HEB,Retail,78734,"(30.344323, -97.967673)",-97.967673,30.344323
HEB / HEB LAKEWAY #2,HEB,Retail,78734,"(30.344254, -97.967587)",-97.967587,30.344254
HPE AUSTIN / TXN04 A,HPE AUSTIN,Workplace,78728,"(30.445476, -97.690074)",-97.690074,30.445476
HPE AUSTIN / TXN04 B,HPE AUSTIN,Workplace,78728,"(30.445485, -97.690128)",-97.690128,30.445485
HPI 3700 / 3900 SC #1,HPI 3700,Workplace,78746,"(30.337898, -97.807867)",-97.807867,30.337898
HPI 3700 / 3900 SC #2,HPI 3700,Workplace,78746,"(30.337882, -97.807765)",-97.807765,30.337882
HPI 3700 / EV 1,HPI 3700,Workplace,78746,"(30.33688, -97.806575)",-97.806575,30.33688
HPI 3700 / EV 2,HPI 3700,Workplace,78746,"(30.336797, -97.806151)",-97.806151,30.336797
HPI 3700 / EV 3,HPI 3700,Workplace,78746,"(30.336765, -97.806189)",-97.806189,30.336765
HPI 3700 / EV 4,HPI 3700,Workplace,78746,"(30.336723, -97.806259)",-97.806259,30.336723
HPI 3700 / EV 5,HPI 3700,Workplace,78746,"(30.336623, -97.807619)",-97.807619,30.336623
HPI 3700 / EV 6,HPI 3700,Workplace,78746,"(30.336616, -97.8076)",-97.8076,30.336616
INT-BIO EV CHGR / INTBIO EV CHGR1,INT-BIO EV CHGR,Workplace,78754,"(30.33089, -97.668908)",-97.668908,30.33089
INT-BIO EV CHGR / INTBIO EV CHGR2,INT-BIO EV CHGR,Workplace,78754,"(30.330901, -97.668947)",-97.668947,30.330901
